Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barbados,BRB,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,
Brunei Darussalam,BRN,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhután,BTN,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,7.2,,,,,2.6,,,,,2,,,,,0.1,,
Botswana,BWA,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,,,,26.8,,,,,,,,,21.7,,,,,,,12.8,,,,,,12.9,,,,,,,,,
República Centroafricana,CAF,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1,,,,,,,,,,,,,,,,45.2,,,,,,,,,,,,,46.9,,,
Canadá,CAN,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,2,,1.5,,1.3,,1.2,,1.1,,0.7,0.6,,0.7,0.6,0.9,0.5,0.6,1.2,1,1.1,0.7,1.1,0.8,0.7,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,,,
Europa Central y del Báltico,CEB,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suiza,CHE,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.5,,,,,,,,0.1,,0,,0.1,,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Islas del Canal,CHI,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,10.2,,7,,6.8,,5.2,,4.9,,5.7,,,5.3,,,2.3,,,1.8,,1.1,,0.6,,0.5,,0.4,,,1.3,,0.4,,
China,CHN,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,68.7,,,58.9,,,50.7,,,52.8,,,48.3,,,37.5,,,35.8,,,29.3,,,19.6,,,15.7,,12.4,9.7,8.1,4.1,3.2,2.2,1.6,1.3,0.8,0.3,0.1,0,0,,
Côte d'Ivoire,CIV,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7.1,10.7,14.8,,,,24,,,23.2,,,27.4,,,,26.7,,,,,,29.8,,,,,,,28.9,,,13.4,,,12.3,,,
Camerún,CMR,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,,,17.8,,,,,,21.1,,,,,,,17.4,,,,,,,15.6,,,
"Congo, República Democrática del",COD,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,,,,,,,,53.4,,,,,,,,60.3,,,,
"Congo, República del",COG,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,25,,,,,,,,,,,,,
Colombia,COL,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,18.3,,,,,,,,13.2,12.8,,11.7,10.9,,,,17.4,,,20.2,17.7,20.2,13.6,12.9,12.1,10.8,,,10.8,9.7,8.5,7.3,7,6.4,5.9,5.3,5.3,4.9,5,5.7,9.3,7.3,6.2,5.2,
Comoras,COM,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,19.9,,,,,,,,,,
Cabo Verde,CPV,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,15.2,,,,,,,,9.2,,,,,,,,,
Costa Rica,CRI,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,13,,,10.3,9.9,11.7,9.7,8.3,6.8,7.2,8.2,6.5,5.2,6.4,6.7,5.1,4.6,4.6,4.3,3.3,3.3,2.1,2.3,2.5,1.6,1.8,1.7,1.7,1.6,1.7,1.5,1.2,1.5,1.2,2.4,1.4,1.1,1,0.8
