Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brasil,BRA,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,,,,,25.53,
Brasil,BRA,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.73978,,31.43266,,28.12555,,24.81844,,21.51132,,18.20421,,14.8971,,14.8971,,14.8971,,,,,,14.8971,,
Barbados,BRB,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41056,,35.7893,,34.12692,,32.35866,,30.56831,,28.77162,,27.04235,,25.29948,,23.5391,,22.43622,,21.72738,,21.59688,,
Bhután,BTN,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36,,,,,12.34,,,,,,,
Bhután,BTN,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.60128,,56.79227,,55.97413,,55.27324,,54.47522,,53.69789,,52.94421,,52.19329,,51.44004,,50.66515,,50.42596,,44.6899,,
Botswana,BWA,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69,,,,,,11.1,,,,,,,,,
Botswana,BWA,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69239,,56.56976,,54.44714,,52.32451,,50.20189,,48.07927,,45.95664,,43.83402,,41.71139,,39.58877,,39.6,,39.6,,
República Centroafricana,CAF,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Centroafricana,CAF,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96516,,83.12315,,80.28114,,77.43913,,74.59712,,71.75511,,68.9131,,68.9131,,68.9131,,68.9131,,68.9131,,68.9131,,
Canadá,CAN,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.72,,,,,77.73,,,
Canadá,CAN,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,0.25,,0.3,,0.45,,0.5,,0.55,,0.65,,0.7,,0.8,,0.8,,1.09583,,
Europa Central y del Báltico,CEB,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa Central y del Báltico,CEB,Población que vive en barrios de tugurios (% de la población urbana),EN.POP.SLUM.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.542226925,,2.97688361,,2.728494125,,2.464885728,,2.139202478,,1.834604678,,1.514463843,,1.312071542,,2.869172328,,2.189150062,,1.88264489,,2.243268855,,
Suiza,CHE,"Consumo medio o ingresos per cápita según encuestas, población total (USD por día según la PPA de 2021)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.61,,,,,87.39,,
